country,year,value,type
Indonesia,2006,0.204,co2_intensity
Japan,2006,0.229,co2_intensity
Malaysia,2006,0.312,co2_intensity
South Korea,2006,0.375,co2_intensity
Taiwan,2006,0.678,co2_intensity
Thailand,2006,0.249,co2_intensity
Australia,2006,0.445,co2_intensity
New Zealand,2006,0.222,co2_intensity
Algeria,2006,0.188,co2_intensity
Egypt,2006,0.225,co2_intensity
Nigeria,2006,0.079,co2_intensity
South Africa,2006,0.641,co2_intensity
Iran,2006,0.399,co2_intensity
Kuwait,2006,0.279,co2_intensity
Saudi Arabia,2006,0.276,co2_intensity
United Arab Emirates,2006,0.234,co2_intensity
Belgium,2007,0.222,co2_intensity
Czech Rep.,2007,0.379,co2_intensity
France,2007,0.139,co2_intensity
Germany,2007,0.215,co2_intensity
Italy,2007,0.184,co2_intensity
Netherlands,2007,0.228,co2_intensity
Poland,2007,0.402,co2_intensity
Portugal,2007,0.173,co2_intensity
Romania,2007,0.24,co2_intensity
Spain,2007,0.207,co2_intensity
Sweden,2007,0.114,co2_intensity
United Kingdom,2007,0.209,co2_intensity
Norway,2007,0.126,co2_intensity
Turkey,2007,0.208,co2_intensity
Kazakhstan,2007,0.621,co2_intensity
Russia,2007,0.497,co2_intensity
Ukraine,2007,0.734,co2_intensity
Uzbekistan,2007,1.097,co2_intensity
Canada,2007,0.413,co2_intensity
United States,2007,0.355,co2_intensity
Argentina,2007,0.219,co2_intensity
Brazil,2007,0.125,co2_intensity
Chile,2007,0.205,co2_intensity
Colombia,2007,0.113,co2_intensity
Mexico,2007,0.234,co2_intensity
Venezuela,2007,0.122,co2_intensity
China,2007,0.641,co2_intensity
India,2007,0.27,co2_intensity
Indonesia,2007,0.2,co2_intensity
Japan,2007,0.235,co2_intensity
Malaysia,2007,0.316,co2_intensity
South Korea,2007,0.377,co2_intensity
Taiwan,2007,0.654,co2_intensity
Thailand,2007,0.245,co2_intensity
Australia,2007,0.44,co2_intensity
New Zealand,2007,0.208,co2_intensity
Algeria,2007,0.191,co2_intensity
Egypt,2007,0.226,co2_intensity
Nigeria,2007,0.069,co2_intensity
South Africa,2007,0.643,co2_intensity
Iran,2007,0.391,co2_intensity
Kuwait,2007,0.264,co2_intensity
Saudi Arabia,2007,0.286,co2_intensity
United Arab Emirates,2007,0.245,co2_intensity
Belgium,2008,0.223,co2_intensity
Czech Rep.,2008,0.349,co2_intensity
France,2008,0.138,co2_intensity
Germany,2008,0.215,co2_intensity
Italy,2008,0.181,co2_intensity
Netherlands,2008,0.224,co2_intensity
Poland,2008,0.383,co2_intensity
Portugal,2008,0.167,co2_intensity
Romania,2008,0.218,co2_intensity
Spain,2008,0.187,co2_intensity
Sweden,2008,0.11,co2_intensity
United Kingdom,2008,0.204,co2_intensity
Norway,2008,0.124,co2_intensity
Turkey,2008,0.207,co2_intensity
Kazakhstan,2008,0.71,co2_intensity
Russia,2008,0.479,co2_intensity
Ukraine,2008,0.709,co2_intensity
Uzbekistan,2008,1.021,co2_intensity
Canada,2008,0.394,co2_intensity
United States,2008,0.343,co2_intensity
Argentina,2008,0.225,co2_intensity
Brazil,2008,0.125,co2_intensity
Chile,2008,0.206,co2_intensity
Colombia,2008,0.111,co2_intensity
Mexico,2008,0.232,co2_intensity
Venezuela,2008,0.142,co2_intensity
China,2008,0.596,co2_intensity
India,2008,0.277,co2_intensity
Indonesia,2008,0.186,co2_intensity
Japan,2008,0.222,co2_intensity
Malaysia,2008,0.324,co2_intensity
South Korea,2008,0.376,co2_intensity
Taiwan,2008,0.62,co2_intensity
Thailand,2008,0.247,co2_intensity
Australia,2008,0.427,co2_intensity
New Zealand,2008,0.218,co2_intensity
Algeria,2008,0.193,co2_intensity
Egypt,2008,0.221,co2_intensity
Nigeria,2008,0.071,co2_intensity
South Africa,2008,0.676,co2_intensity
Iran,2008,0.395,co2_intensity
Kuwait,2008,0.275,co2_intensity
Saudi Arabia,2008,0.293,co2_intensity
United Arab Emirates,2008,0.28,co2_intensity
Belgium,2009,0.209,co2_intensity
Czech Rep.,2009,0.342,co2_intensity
France,2009,0.134,co2_intensity
Germany,2009,0.211,co2_intensity
Italy,2009,0.171,co2_intensity
Netherlands,2009,0.225,co2_intensity
Poland,2009,0.358,co2_intensity
Portugal,2009,0.17,co2_intensity
Romania,2009,0.2,co2_intensity
Spain,2009,0.172,co2_intensity
Sweden,2009,0.108,co2_intensity
United Kingdom,2009,0.193,co2_intensity
Norway,2009,0.127,co2_intensity
Turkey,2009,0.212,co2_intensity
Kazakhstan,2009,0.622,co2_intensity
Russia,2009,0.487,co2_intensity
Ukraine,2009,0.701,co2_intensity
Uzbekistan,2009,0.857,co2_intensity
Canada,2009,0.385,co2_intensity
United States,2009,0.328,co2_intensity
Argentina,2009,0.229,co2_intensity
Brazil,2009,0.117,co2_intensity
Chile,2009,0.201,co2_intensity
Colombia,2009,0.116,co2_intensity
Mexico,2009,0.239,co2_intensity
Venezuela,2009,0.148,co2_intensity
China,2009,0.583,co2_intensity
India,2009,0.287,co2_intensity
Indonesia,2009,0.186,co2_intensity
Japan,2009,0.223,co2_intensity
Malaysia,2009,0.301,co2_intensity
South Korea,2009,0.377,co2_intensity
Taiwan,2009,0.597,co2_intensity
Thailand,2009,0.243,co2_intensity
Australia,2009,0.425,co2_intensity
New Zealand,2009,0.2,co2_intensity
Algeria,2009,0.203,co2_intensity
Egypt,2009,0.217,co2_intensity
Nigeria,2009,0.056,co2_intensity
South Africa,2009,0.647,co2_intensity
Iran,2009,0.401,co2_intensity
Kuwait,2009,0.325,co2_intensity
Saudi Arabia,2009,0.313,co2_intensity
United Arab Emirates,2009,0.3,co2_intensity
Belgium,2010,0.223,co2_intensity
Czech Rep.,2010,0.345,co2_intensity
France,2010,0.136,co2_intensity
Germany,2010,0.215,co2_intensity
Italy,2010,0.172,co2_intensity
Netherlands,2010,0.236,co2_intensity
Poland,2010,0.367,co2_intensity
Portugal,2010,0.151,co2_intensity
Romania,2010,0.193,co2_intensity
Spain,2010,0.163,co2_intensity
Sweden,2010,0.115,co2_intensity
United Kingdom,2010,0.197,co2_intensity
Norway,2010,0.132,co2_intensity
Turkey,2010,0.204,co2_intensity
Kazakhstan,2010,0.633,co2_intensity
Russia,2010,0.496,co2_intensity
Ukraine,2010,0.725,co2_intensity
Uzbekistan,2010,0.772,co2_intensity
Canada,2010,0.384,co2_intensity
United States,2010,0.334,co2_intensity
Argentina,2010,0.213,co2_intensity
Brazil,2010,0.123,co2_intensity
Chile,2010,0.203,co2_intensity
Colombia,2010,0.114,co2_intensity
Mexico,2010,0.235,co2_intensity
Venezuela,2010,0.16,co2_intensity
China,2010,0.568,co2_intensity
India,2010,0.275,co2_intensity
Indonesia,2010,0.181,co2_intensity
Japan,2010,0.223,co2_intensity
Malaysia,2010,0.308,co2_intensity
South Korea,2010,0.392,co2_intensity
Taiwan,2010,0.585,co2_intensity
Thailand,2010,0.244,co2_intensity
Australia,2010,0.417,co2_intensity
New Zealand,2010,0.196,co2_intensity
Algeria,2010,0.197,co2_intensity
Egypt,2010,0.208,co2_intensity
Nigeria,2010,0.065,co2_intensity
South Africa,2010,0.637,co2_intensity
Iran,2010,0.372,co2_intensity
Kuwait,2010,0.328,co2_intensity
Saudi Arabia,2010,0.328,co2_intensity
United Arab Emirates,2010,0.307,co2_intensity
Belgium,2011,0.198,co2_intensity
Czech Rep.,2011,0.328,co2_intensity
France,2011,0.124,co2_intensity
Germany,2011,0.2,co2_intensity
Italy,2011,0.168,co2_intensity
Netherlands,2011,0.217,co2_intensity
Poland,2011,0.344,co2_intensity
Portugal,2011,0.152,co2_intensity
Romania,2011,0.208,co2_intensity
Spain,2011,0.167,co2_intensity
Sweden,2011,0.101,co2_intensity
United Kingdom,2011,0.179,co2_intensity
Norway,2011,0.127,co2_intensity
Turkey,2011,0.196,co2_intensity
Kazakhstan,2011,0.625,co2_intensity
Russia,2011,0.498,co2_intensity
Ukraine,2011,0.721,co2_intensity
Uzbekistan,2011,0.777,co2_intensity
Canada,2011,0.38,co2_intensity
United States,2011,0.32,co2_intensity
Argentina,2011,0.209,co2_intensity
Brazil,2011,0.125,co2_intensity
Chile,2011,0.208,co2_intensity
Colombia,2011,0.116,co2_intensity
Mexico,2011,0.235,co2_intensity
Venezuela,2011,0.136,co2_intensity
China,2011,0.567,co2_intensity
India,2011,0.271,co2_intensity
Indonesia,2011,0.171,co2_intensity
Japan,2011,0.234,co2_intensity
Malaysia,2011,0.3,co2_intensity
South Korea,2011,0.399,co2_intensity
Taiwan,2011,0.553,co2_intensity
Thailand,2011,0.241,co2_intensity
Australia,2011,0.405,co2_intensity
New Zealand,2011,0.187,co2_intensity
Algeria,2011,0.206,co2_intensity
Egypt,2011,0.212,co2_intensity
Nigeria,2011,0.068,co2_intensity
South Africa,2011,0.596,co2_intensity
Iran,2011,0.37,co2_intensity
Kuwait,2011,0.304,co2_intensity
Saudi Arabia,2011,0.309,co2_intensity
United Arab Emirates,2011,0.296,co2_intensity
Belgium,2012,0.196,co2_intensity
Czech Rep.,2012,0.319,co2_intensity
France,2012,0.125,co2_intensity
Germany,2012,0.203,co2_intensity
Italy,2012,0.164,co2_intensity
Netherlands,2012,0.216,co2_intensity
Poland,2012,0.331,co2_intensity
Portugal,2012,0.153,co2_intensity
Romania,2012,0.201,co2_intensity
Spain,2012,0.169,co2_intensity
Sweden,2012,0.094,co2_intensity
United Kingdom,2012,0.185,co2_intensity
Norway,2012,0.12,co2_intensity
Turkey,2012,0.198,co2_intensity
Kazakhstan,2012,0.596,co2_intensity
Russia,2012,0.476,co2_intensity
Ukraine,2012,0.706,co2_intensity
Uzbekistan,2012,0.731,co2_intensity
Canada,2012,0.376,co2_intensity
United States,2012,0.303,co2_intensity
Argentina,2012,0.218,co2_intensity
Brazil,2012,0.133,co2_intensity
Chile,2012,0.204,co2_intensity
Colombia,2012,0.111,co2_intensity
Mexico,2012,0.226,co2_intensity
Venezuela,2012,0.143,co2_intensity
China,2012,0.537,co2_intensity
India,2012,0.275,co2_intensity
Indonesia,2012,0.167,co2_intensity
Japan,2012,0.239,co2_intensity
Malaysia,2012,0.29,co2_intensity
South Korea,2012,0.392,co2_intensity
Taiwan,2012,0.525,co2_intensity
Thailand,2012,0.242,co2_intensity
Australia,2012,0.388,co2_intensity
New Zealand,2012,0.194,co2_intensity
Algeria,2012,0.219,co2_intensity
Egypt,2012,0.214,co2_intensity
Nigeria,2012,0.068,co2_intensity
South Africa,2012,0.61,co2_intensity
Iran,2012,0.399,co2_intensity
Kuwait,2012,0.284,co2_intensity
Saudi Arabia,2012,0.313,co2_intensity
United Arab Emirates,2012,0.3,co2_intensity
Belgium,2013,0.198,co2_intensity
Czech Rep.,2013,0.31,co2_intensity
France,2013,0.125,co2_intensity
Germany,2013,0.208,co2_intensity
Italy,2013,0.153,co2_intensity
Netherlands,2013,0.216,co2_intensity
Poland,2013,0.324,co2_intensity
Portugal,2013,0.15,co2_intensity
Romania,2013,0.17,co2_intensity
Spain,2013,0.155,co2_intensity
Sweden,2013,0.089,co2_intensity
United Kingdom,2013,0.176,co2_intensity
Norway,2013,0.118,co2_intensity
Turkey,2013,0.173,co2_intensity
Kazakhstan,2013,0.602,co2_intensity
Russia,2013,0.454,co2_intensity
Ukraine,2013,0.678,co2_intensity
Uzbekistan,2013,0.605,co2_intensity
Canada,2013,0.375,co2_intensity
United States,2013,0.302,co2_intensity
Argentina,2013,0.208,co2_intensity
Brazil,2013,0.138,co2_intensity
Chile,2013,0.206,co2_intensity
Colombia,2013,0.115,co2_intensity
Mexico,2013,0.219,co2_intensity
Venezuela,2013,0.131,co2_intensity
China,2013,0.523,co2_intensity
India,2013,0.266,co2_intensity
Indonesia,2013,0.158,co2_intensity
Japan,2013,0.237,co2_intensity
Malaysia,2013,0.302,co2_intensity
South Korea,2013,0.381,co2_intensity
Taiwan,2013,0.517,co2_intensity
Thailand,2013,0.246,co2_intensity
Australia,2013,0.374,co2_intensity
New Zealand,2013,0.189,co2_intensity
Algeria,2013,0.218,co2_intensity
Egypt,2013,0.209,co2_intensity
Nigeria,2013,0.064,co2_intensity
South Africa,2013,0.608,co2_intensity
Iran,2013,0.426,co2_intensity
Kuwait,2013,0.3,co2_intensity
Saudi Arabia,2013,0.309,co2_intensity
United Arab Emirates,2013,0.298,co2_intensity
Belgium,2014,0.182,co2_intensity
Czech Rep.,2014,0.293,co2_intensity
France,2014,0.112,co2_intensity
Germany,2014,0.194,co2_intensity
Italy,2014,0.146,co2_intensity
Netherlands,2014,0.205,co2_intensity
Poland,2014,0.299,co2_intensity
Portugal,2014,0.146,co2_intensity
Romania,2014,0.164,co2_intensity
Spain,2014,0.151,co2_intensity
Sweden,2014,0.086,co2_intensity
United Kingdom,2014,0.156,co2_intensity
Norway,2014,0.117,co2_intensity
Turkey,2014,0.177,co2_intensity
Kazakhstan,2014,0.542,co2_intensity
Russia,2014,0.448,co2_intensity
Ukraine,2014,0.615,co2_intensity
Uzbekistan,2014,0.57,co2_intensity
Canada,2014,0.365,co2_intensity
United States,2014,0.299,co2_intensity
Argentina,2014,0.221,co2_intensity
Brazil,2014,0.145,co2_intensity
Chile,2014,0.188,co2_intensity
Colombia,2014,0.113,co2_intensity
Mexico,2014,0.206,co2_intensity
Venezuela,2014,0.135,co2_intensity
China,2014,0.489,co2_intensity
India,2014,0.27,co2_intensity
Indonesia,2014,0.164,co2_intensity
Japan,2014,0.227,co2_intensity
Malaysia,2014,0.294,co2_intensity
South Korea,2014,0.364,co2_intensity
Taiwan,2014,0.503,co2_intensity
Thailand,2014,0.24,co2_intensity
Australia,2014,0.356,co2_intensity
New Zealand,2014,0.188,co2_intensity
Algeria,2014,0.227,co2_intensity
Egypt,2014,0.206,co2_intensity
Nigeria,2014,0.058,co2_intensity
South Africa,2014,0.616,co2_intensity
Iran,2014,0.427,co2_intensity
Kuwait,2014,0.283,co2_intensity
Saudi Arabia,2014,0.32,co2_intensity
United Arab Emirates,2014,0.288,co2_intensity
Belgium,2015,0.19,co2_intensity
Czech Rep.,2015,0.286,co2_intensity
France,2015,0.114,co2_intensity
Germany,2015,0.192,co2_intensity
Italy,2015,0.148,co2_intensity
Netherlands,2015,0.207,co2_intensity
Poland,2015,0.292,co2_intensity
Portugal,2015,0.157,co2_intensity
Romania,2015,0.159,co2_intensity
Spain,2015,0.156,co2_intensity
Sweden,2015,0.082,co2_intensity
United Kingdom,2015,0.146,co2_intensity
Norway,2015,0.119,co2_intensity
Turkey,2015,0.173,co2_intensity
Kazakhstan,2015,0.519,co2_intensity
Russia,2015,0.463,co2_intensity
Ukraine,2015,0.532,co2_intensity
Uzbekistan,2015,0.515,co2_intensity
Canada,2015,0.359,co2_intensity
United States,2015,0.283,co2_intensity
Argentina,2015,0.222,co2_intensity
Brazil,2015,0.143,co2_intensity
Chile,2015,0.196,co2_intensity
Colombia,2015,0.109,co2_intensity
Mexico,2015,0.205,co2_intensity
Venezuela,2015,0.127,co2_intensity
China,2015,0.459,co2_intensity
India,2015,0.256,co2_intensity
Indonesia,2015,0.159,co2_intensity
Japan,2015,0.217,co2_intensity
Malaysia,2015,0.28,co2_intensity
South Korea,2015,0.362,co2_intensity
Taiwan,2015,0.5,co2_intensity
Thailand,2015,0.236,co2_intensity
Australia,2015,0.351,co2_intensity
New Zealand,2015,0.184,co2_intensity
Algeria,2015,0.232,co2_intensity
Egypt,2015,0.203,co2_intensity
Nigeria,2015,0.061,co2_intensity
South Africa,2015,0.599,co2_intensity
Iran,2015,0.426,co2_intensity
Kuwait,2015,0.299,co2_intensity
Saudi Arabia,2015,0.323,co2_intensity
United Arab Emirates,2015,0.283,co2_intensity
Belgium,2016,0.183,co2_intensity
Czech Rep.,2016,0.285,co2_intensity
France,2016,0.115,co2_intensity
Germany,2016,0.191,co2_intensity
Italy,2016,0.144,co2_intensity
Netherlands,2016,0.203,co2_intensity
Poland,2016,0.288,co2_intensity
Portugal,2016,0.148,co2_intensity
Romania,2016,0.152,co2_intensity
Spain,2016,0.148,co2_intensity
Sweden,2016,0.081,co2_intensity
United Kingdom,2016,0.134,co2_intensity
Norway,2016,0.122,co2_intensity
Turkey,2016,0.182,co2_intensity
Kazakhstan,2016,0.502,co2_intensity
Russia,2016,0.468,co2_intensity
Ukraine,2016,0.548,co2_intensity
Uzbekistan,2016,0.464,co2_intensity
Canada,2016,0.367,co2_intensity
United States,2016,0.277,co2_intensity
Argentina,2016,0.231,co2_intensity
Brazil,2016,0.138,co2_intensity
Chile,2016,0.207,co2_intensity
Colombia,2016,0.112,co2_intensity
Mexico,2016,0.204,co2_intensity
Venezuela,2016,0.142,co2_intensity
China,2016,0.43,co2_intensity
India,2016,0.25,co2_intensity
Indonesia,2016,0.155,co2_intensity
Japan,2016,0.212,co2_intensity
Malaysia,2016,0.286,co2_intensity
South Korea,2016,0.353,co2_intensity
Taiwan,2016,0.521,co2_intensity
Thailand,2016,0.234,co2_intensity
Australia,2016,0.358,co2_intensity
New Zealand,2016,0.177,co2_intensity
Algeria,2016,0.221,co2_intensity
Egypt,2016,0.202,co2_intensity
Nigeria,2016,0.057,co2_intensity
South Africa,2016,0.612,co2_intensity
Iran,2016,0.399,co2_intensity
Kuwait,2016,0.304,co2_intensity
Saudi Arabia,2016,0.331,co2_intensity
United Arab Emirates,2016,0.279,co2_intensity
Belgium,2017,0.178,co2_intensity
Czech Rep.,2017,0.278,co2_intensity
France,2017,0.115,co2_intensity
Germany,2017,0.192,co2_intensity
Italy,2017,0.141,co2_intensity
Netherlands,2017,0.206,co2_intensity
Poland,2017,0.288,co2_intensity
Portugal,2017,0.162,co2_intensity
Romania,2017,0.155,co2_intensity
Spain,2017,0.152,co2_intensity
Sweden,2017,0.077,co2_intensity
United Kingdom,2017,0.127,co2_intensity
Norway,2017,0.108,co2_intensity
Turkey,2017,0.198,co2_intensity
Kazakhstan,2017,0.509,co2_intensity
Russia,2017,0.481,co2_intensity
Ukraine,2017,0.473,co2_intensity
Uzbekistan,2017,0.44,co2_intensity
Canada,2017,0.376,co2_intensity
United States,2017,0.271,co2_intensity
Argentina,2017,0.221,co2_intensity
Brazil,2017,0.14,co2_intensity
Chile,2017,0.198,co2_intensity
Colombia,2017,0.105,co2_intensity
Mexico,2017,0.192,co2_intensity
Venezuela,2017,0.159,co2_intensity
China,2017,0.412,co2_intensity
India,2017,0.244,co2_intensity
Indonesia,2017,0.154,co2_intensity
Japan,2017,0.211,co2_intensity
Malaysia,2017,0.277,co2_intensity
South Korea,2017,0.359,co2_intensity
Taiwan,2017,0.523,co2_intensity
Thailand,2017,0.227,co2_intensity
Australia,2017,0.352,co2_intensity
New Zealand,2017,0.18,co2_intensity
Algeria,2017,0.216,co2_intensity
Egypt,2017,0.199,co2_intensity
Nigeria,2017,0.059,co2_intensity
South Africa,2017,0.599,co2_intensity
Iran,2017,0.406,co2_intensity
Kuwait,2017,0.307,co2_intensity
Saudi Arabia,2017,0.339,co2_intensity
United Arab Emirates,2017,0.272,co2_intensity
Belgium,1990,0.143,energy_intensity
Czech Rep.,1990,0.217,energy_intensity
France,1990,0.119,energy_intensity
Germany,1990,0.13,energy_intensity
Italy,1990,0.079,energy_intensity
Netherlands,1990,0.131,energy_intensity
Poland,1990,0.25,energy_intensity
Portugal,1990,0.077,energy_intensity
Romania,1990,0.218,energy_intensity
Spain,1990,0.091,energy_intensity
Sweden,1990,0.166,energy_intensity
United Kingdom,1990,0.124,energy_intensity
Norway,1990,0.119,energy_intensity
Turkey,1990,0.083,energy_intensity
Kazakhstan,1990,0.323,energy_intensity
Russia,1990,0.293,energy_intensity
Ukraine,1990,0.42,energy_intensity
Uzbekistan,1990,0.691,energy_intensity
Canada,1990,0.236,energy_intensity
United States,1990,0.194,energy_intensity
Argentina,1990,0.122,energy_intensity
Brazil,1990,0.085,energy_intensity
Chile,1990,0.112,energy_intensity
Colombia,1990,0.088,energy_intensity
Mexico,1990,0.111,energy_intensity
Venezuela,1990,0.062,energy_intensity
China,1990,0.472,energy_intensity
India,1990,0.188,energy_intensity
Indonesia,1990,0.11,energy_intensity
Japan,1990,0.108,energy_intensity
Malaysia,1990,0.108,energy_intensity
South Korea,1990,0.187,energy_intensity
Taiwan,1990,0.274,energy_intensity
Thailand,1990,0.105,energy_intensity
Australia,1990,0.169,energy_intensity
New Zealand,1990,0.155,energy_intensity
Algeria,1990,0.078,energy_intensity
Egypt,1990,0.089,energy_intensity
Nigeria,1990,0.215,energy_intensity
South Africa,1990,0.236,energy_intensity
Iran,1990,0.114,energy_intensity
Kuwait,1990,0.089,energy_intensity
Saudi Arabia,1990,0.079,energy_intensity
United Arab Emirates,1990,0.093,energy_intensity
Belgium,1991,0.147,energy_intensity
Czech Rep.,1991,0.223,energy_intensity
France,1991,0.125,energy_intensity
Germany,1991,0.12,energy_intensity
Italy,1991,0.079,energy_intensity
Netherlands,1991,0.133,energy_intensity
Poland,1991,0.262,energy_intensity
Portugal,1991,0.074,energy_intensity
Romania,1991,0.206,energy_intensity
Spain,1991,0.092,energy_intensity
Sweden,1991,0.174,energy_intensity
United Kingdom,1991,0.13,energy_intensity
Norway,1991,0.119,energy_intensity
Turkey,1991,0.082,energy_intensity
Kazakhstan,1991,0.371,energy_intensity
Russia,1991,0.306,energy_intensity
Ukraine,1991,0.462,energy_intensity
Uzbekistan,1991,0.721,energy_intensity
Canada,1991,0.24,energy_intensity
United States,1991,0.196,energy_intensity
Argentina,1991,0.112,energy_intensity
Brazil,1991,0.086,energy_intensity
Chile,1991,0.107,energy_intensity
Colombia,1991,0.087,energy_intensity
Mexico,1991,0.112,energy_intensity
Venezuela,1991,0.059,energy_intensity
China,1991,0.421,energy_intensity
India,1991,0.194,energy_intensity
Indonesia,1991,0.108,energy_intensity
Japan,1991,0.106,energy_intensity
Malaysia,1991,0.121,energy_intensity
South Korea,1991,0.182,energy_intensity
Taiwan,1991,0.275,energy_intensity
Thailand,1991,0.105,energy_intensity
Australia,1991,0.167,energy_intensity
New Zealand,1991,0.158,energy_intensity
Algeria,1991,0.084,energy_intensity
Egypt,1991,0.088,energy_intensity
Nigeria,1991,0.227,energy_intensity
South Africa,1991,0.249,energy_intensity
Iran,1991,0.112,energy_intensity
Kuwait,1991,0.044,energy_intensity
Saudi Arabia,1991,0.08,energy_intensity
United Arab Emirates,1991,0.106,energy_intensity
Belgium,1992,0.146,energy_intensity
Czech Rep.,1992,0.219,energy_intensity
France,1992,0.121,energy_intensity
Germany,1992,0.116,energy_intensity
Italy,1992,0.078,energy_intensity
Netherlands,1992,0.129,energy_intensity
Poland,1992,0.249,energy_intensity
Portugal,1992,0.078,energy_intensity
Romania,1992,0.206,energy_intensity
Spain,1992,0.093,energy_intensity
Sweden,1992,0.168,energy_intensity
United Kingdom,1992,0.129,energy_intensity
Norway,1992,0.118,energy_intensity
Turkey,1992,0.08,energy_intensity
Kazakhstan,1992,0.412,energy_intensity
Russia,1992,0.328,energy_intensity
Ukraine,1992,0.444,energy_intensity
Uzbekistan,1992,0.764,energy_intensity
Canada,1992,0.244,energy_intensity
United States,1992,0.193,energy_intensity
Argentina,1992,0.105,energy_intensity
Brazil,1992,0.087,energy_intensity
Chile,1992,0.104,energy_intensity
Colombia,1992,0.085,energy_intensity
Mexico,1992,0.109,energy_intensity
Venezuela,1992,0.062,energy_intensity
China,1992,0.381,energy_intensity
India,1992,0.19,energy_intensity
Indonesia,1992,0.106,energy_intensity
Japan,1992,0.108,energy_intensity
Malaysia,1992,0.123,energy_intensity
South Korea,1992,0.189,energy_intensity
Taiwan,1992,0.267,energy_intensity
Thailand,1992,0.103,energy_intensity
Australia,1992,0.169,energy_intensity
New Zealand,1992,0.162,energy_intensity
Algeria,1992,0.084,energy_intensity
Egypt,1992,0.087,energy_intensity
Nigeria,1992,0.235,energy_intensity
South Africa,1992,0.238,energy_intensity
Iran,1992,0.114,energy_intensity
Kuwait,1992,0.097,energy_intensity
Saudi Arabia,1992,0.087,energy_intensity
United Arab Emirates,1992,0.097,energy_intensity
Belgium,1993,0.144,energy_intensity
Czech Rep.,1993,0.212,energy_intensity
France,1993,0.124,energy_intensity
Germany,1993,0.116,energy_intensity
Italy,1993,0.079,energy_intensity
Netherlands,1993,0.13,energy_intensity
Poland,1993,0.246,energy_intensity
Portugal,1993,0.079,energy_intensity
Romania,1993,0.198,energy_intensity
Spain,1993,0.09,energy_intensity
Sweden,1993,0.171,energy_intensity
United Kingdom,1993,0.127,energy_intensity
Norway,1993,0.121,energy_intensity
Turkey,1993,0.079,energy_intensity
Kazakhstan,1993,0.378,energy_intensity
Russia,1993,0.339,energy_intensity
Ukraine,1993,0.461,energy_intensity
Uzbekistan,1993,0.813,energy_intensity
Canada,1993,0.246,energy_intensity
United States,1993,0.191,energy_intensity
Argentina,1993,0.099,energy_intensity
Brazil,1993,0.085,energy_intensity
Chile,1993,0.1,energy_intensity
Colombia,1993,0.087,energy_intensity
Mexico,1993,0.107,energy_intensity
Venezuela,1993,0.058,energy_intensity
China,1993,0.354,energy_intensity
India,1993,0.186,energy_intensity
Indonesia,1993,0.109,energy_intensity
Japan,1993,0.108,energy_intensity
Malaysia,1993,0.121,energy_intensity
South Korea,1993,0.199,energy_intensity
Taiwan,1993,0.267,energy_intensity
Thailand,1993,0.101,energy_intensity
Australia,1993,0.17,energy_intensity
New Zealand,1993,0.159,energy_intensity
Algeria,1993,0.086,energy_intensity
Egypt,1993,0.087,energy_intensity
Nigeria,1993,0.234,energy_intensity
South Africa,1993,0.25,energy_intensity
Iran,1993,0.125,energy_intensity
Kuwait,1993,0.101,energy_intensity
Saudi Arabia,1993,0.092,energy_intensity
United Arab Emirates,1993,0.101,energy_intensity
Belgium,1994,0.148,energy_intensity
Czech Rep.,1994,0.199,energy_intensity
France,1994,0.117,energy_intensity
Germany,1994,0.112,energy_intensity
Italy,1994,0.076,energy_intensity
Netherlands,1994,0.127,energy_intensity
Poland,1994,0.225,energy_intensity
Portugal,1994,0.08,energy_intensity
Romania,1994,0.179,energy_intensity
Spain,1994,0.092,energy_intensity
Sweden,1994,0.176,energy_intensity
United Kingdom,1994,0.126,energy_intensity
Norway,1994,0.113,energy_intensity
Turkey,1994,0.082,energy_intensity
Kazakhstan,1994,0.383,energy_intensity
Russia,1994,0.338,energy_intensity
Ukraine,1994,0.509,energy_intensity
Uzbekistan,1994,0.849,energy_intensity
Canada,1994,0.243,energy_intensity
United States,1994,0.187,energy_intensity
Argentina,1994,0.1,energy_intensity
Brazil,1994,0.085,energy_intensity
Chile,1994,0.102,energy_intensity
Colombia,1994,0.085,energy_intensity
Mexico,1994,0.104,energy_intensity
Venezuela,1994,0.068,energy_intensity
China,1994,0.328,energy_intensity
India,1994,0.181,energy_intensity
Indonesia,1994,0.102,energy_intensity
Japan,1994,0.113,energy_intensity
Malaysia,1994,0.111,energy_intensity
South Korea,1994,0.194,energy_intensity
Taiwan,1994,0.262,energy_intensity
Thailand,1994,0.103,energy_intensity
Australia,1994,0.164,energy_intensity
New Zealand,1994,0.155,energy_intensity
Algeria,1994,0.084,energy_intensity
Egypt,1994,0.081,energy_intensity
Nigeria,1994,0.226,energy_intensity
South Africa,1994,0.25,energy_intensity
Iran,1994,0.141,energy_intensity
Kuwait,1994,0.109,energy_intensity
Saudi Arabia,1994,0.096,energy_intensity
United Arab Emirates,1994,0.105,energy_intensity
Belgium,1995,0.147,energy_intensity
Czech Rep.,1995,0.189,energy_intensity
France,1995,0.119,energy_intensity
Germany,1995,0.112,energy_intensity
Italy,1995,0.078,energy_intensity
Netherlands,1995,0.128,energy_intensity
Poland,1995,0.216,energy_intensity
Portugal,1995,0.082,energy_intensity
Romania,1995,0.181,energy_intensity
Spain,1995,0.095,energy_intensity
Sweden,1995,0.171,energy_intensity
