country,year,renew_share
Mexico,2016,15.36
Venezuela,2016,57.6
China,2016,25.4
India,2016,15.49
Indonesia,2016,12.64
Japan,2016,16.5
Malaysia,2016,11.02
South Korea,2016,2.93
Taiwan,2016,5.46
Thailand,2016,9.73
Australia,2016,15.78
New Zealand,2016,84.17
Algeria,2016,0.38
Egypt,2016,8.32
Nigeria,2016,18.2
South Africa,2016,3.96
Iran,2016,5.72
Kuwait,2016,0
Saudi Arabia,2016,0
United Arab Emirates,2016,0.22
Belgium,2017,18.65
Czech Rep.,2017,12.45
France,2017,17.56
Germany,2017,33.98
Italy,2017,35.74
Netherlands,2017,14.84
Poland,2017,15.48
Portugal,2017,39.75
Romania,2017,38.7
Spain,2017,32.17
Sweden,2017,57.53
United Kingdom,2017,30.16
Norway,2017,97.87
Turkey,2017,29.46
Kazakhstan,2017,9.47
Russia,2017,17.51
Ukraine,2017,7.86
Uzbekistan,2017,19.77
Canada,2017,64.71
United States,2017,17.66
Argentina,2017,28.23
Brazil,2017,79.71
Chile,2017,44.5
Colombia,2017,86.78
Mexico,2017,16.56
Venezuela,2017,63.33
China,2017,25.97
India,2017,16.29
Indonesia,2017,12.32
Japan,2017,17.79
Malaysia,2017,12.35
South Korea,2017,3.36
Taiwan,2017,5.24
Thailand,2017,11.86
Australia,2017,14.95
New Zealand,2017,81.39
Algeria,2017,0.62
Egypt,2017,8.45
Nigeria,2017,18.21
South Africa,2017,4.17
Iran,2017,5.14
Kuwait,2017,0
Saudi Arabia,2017,0
United Arab Emirates,2017,0.57
